,title,url
75,【博士招生】计算机学院、网络空间安全学院关于2023年从优秀在学硕士生中选拔录取博士生的实施办法,http://cc.nankai.edu.cn/2022/0921/c13297a478322/page.htm
76,【课表】2022-2023（1）课表及选课说明,http://cc.nankai.edu.cn/2022/0907/c13298a473409/page.htm
77,南开大学关于2022年秋季学期研究生教学工作预案,http://cc.nankai.edu.cn/2022/0627/c13298a460135/page.htm
78,【专业实践】关于做好2021级专业学位研究生专业实践工作的通知,http://cc.nankai.edu.cn/2022/0504/c13298a447784/page.htm
79,我院开展“坚定创新自信 发扬实干精神” 导师有约下午茶活动,http://cc.nankai.edu.cn/2022/1123/c13296a497539/page.htm
80,计算机学院2022级学硕班主题团日活动,http://cc.nankai.edu.cn/2022/1120/c13296a496047/page.htm
81,计算机学院2020级硕士生党支部开展主题党日活动,http://cc.nankai.edu.cn/2022/1120/c13296a496040/page.htm
82,我院本科生党支部联合开展“学习二十大 永远跟党走”主题党日活动,http://cc.nankai.edu.cn/2022/1118/c13296a495835/page.htm
83,青岛海尔学校2023年秋季教师招聘,http://cc.nankai.edu.cn/2022/1201/c13299a499411/page.htm
84,建信融通2023年校园招聘,http://cc.nankai.edu.cn/2022/1130/c13299a499139/page.htm
85,CVTE视源股份-销售岗位招聘,http://cc.nankai.edu.cn/2022/1130/c13299a499138/page.htm
86,丰疆智能 2023 校园招聘,http://cc.nankai.edu.cn/2022/1126/c13299a498247/page.htm
87,书记,http://cc.nankai.edu.cn/sj/list.htm
88,副书记,http://cc.nankai.edu.cn/fsj/list.htm
89,委员,http://cc.nankai.edu.cn/wy_15396/list.htm
90,教代会主席,http://cc.nankai.edu.cn/jdhzx/list.htm
91,工会主席,http://cc.nankai.edu.cn/ghzx/list.htm
92,委员,http://cc.nankai.edu.cn/wy_15399/list.htm
93,主任,http://cc.nankai.edu.cn/zr_29222/list.htm
94,副主任,http://cc.nankai.edu.cn/fzr_29220/list.htm
95,委员,http://cc.nankai.edu.cn/wy_29221/list.htm
96,翟明睿,http://cc.nankai.edu.cn/2022/0602/c13507a455836/page.htm
97,沈宝庆,http://cc.nankai.edu.cn/2022/0602/c13508a455801/page.htm
98,袁晓洁,http://cc.nankai.edu.cn/2022/0602/c13509a455825/page.htm
99,刘晓光,http://cc.nankai.edu.cn/2022/0602/c13510a455829/page.htm
